incident_zip,borough,complaint_count,avg_resolution_days,median_resolution_days,population,income,missed_avg_days,missed_median_days,lit_avg_days,lit_median_days,complaints_per_1000
10001,MANHATTAN,9,0.9177533436213992,0.6827083333333334,29079.0,123393.0,0.9177533436213992,0.6827083333333334,,,0.00030950170225936243
10002,MANHATTAN,13,1.4282621082621083,1.085636574074074,75517.0,46525.0,1.4282621082621083,1.085636574074074,,,0.00017214666896195557
10003,MANHATTAN,37,0.7955543043043043,0.8455787037037037,53825.0,153750.0,0.7955543043043043,0.8455787037037037,,,0.0006874129122155133
10005,MANHATTAN,1,1.0842824074074073,1.0842824074074073,9238.0,211810.0,1.0842824074074073,1.0842824074074073,,,0.00010824853864472829
10007,MANHATTAN,4,1.9363773148148147,1.6708854166666667,7802.0,250001.0,1.9363773148148147,1.6708854166666667,,,0.0005126890540886952
10009,MANHATTAN,23,0.9583172302737519,0.8772569444444445,58341.0,87963.0,0.9583172302737519,0.8772569444444445,,,0.00039423390068733826
10010,MANHATTAN,11,0.6690277777777778,0.6314930555555556,31905.0,156127.0,0.6690277777777778,0.6314930555555556,,,0.00034477354646607117
10011,MANHATTAN,24,0.8796088927469136,0.6497280092592592,49344.0,146571.0,0.8796088927469136,0.6497280092592592,,,0.00048638132295719845
10012,MANHATTAN,23,0.8228985507246377,0.8825810185185186,21846.0,130938.0,0.8228985507246377,0.8825810185185186,,,0.0010528243156641948
10013,MANHATTAN,46,1.2735167572463768,0.9957754629629629,28215.0,159474.0,1.2735167572463768,0.9957754629629629,,,0.0016303384724437357
10014,MANHATTAN,34,1.2363408905228759,0.8320775462962963,29772.0,167254.0,1.2363408905228759,0.8320775462962963,,,0.001142012629316136
10016,MANHATTAN,52,0.7371064814814815,0.6829398148148148,54297.0,153065.0,0.7371064814814815,0.6829398148148148,,,0.0009576956369596847
10017,MANHATTAN,1,0.8114236111111112,0.8114236111111112,14985.0,132518.0,0.8114236111111112,0.8114236111111112,,,6.67334000667334e-05
10018,MANHATTAN,5,0.964210648148148,0.5412152777777778,8764.0,133042.0,0.964210648148148,0.5412152777777778,,,0.0005705157462345961
10019,MANHATTAN,15,0.9416905864197531,0.9174768518518519,44276.0,121835.0,0.9416905864197531,0.9174768518518519,,,0.0003387839913271298
10021,MANHATTAN,54,1.0404305984224966,0.767332175925926,39479.0,156712.0,1.0404305984224966,0.767332175925926,,,0.0013678158008054915
10022,MANHATTAN,12,1.1696190200617285,1.005625,34340.0,171038.0,1.1696190200617285,1.005625,,,0.00034944670937682004
10023,MANHATTAN,21,1.0261281966490299,0.938599537037037,67468.0,157866.0,1.0261281966490299,0.938599537037037,,,0.0003112586707772574
10024,MANHATTAN,17,1.1138929738562091,1.0389467592592592,62576.0,182614.0,1.1138929738562091,1.0389467592592592,,,0.00027166964970595754
10025,MANHATTAN,26,0.7590544871794871,0.8453761574074075,93223.0,109195.0,0.7608226851851851,0.8510648148148148,,,0.0002789011295495747
10026,MANHATTAN,29,1.4474517081736908,1.1528472222222221,37113.0,74140.0,1.4474517081736908,1.1528472222222221,,,0.0007813973540268909
10027,MANHATTAN,43,1.5229635012919898,0.9483449074074074,65068.0,64220.0,1.5229635012919898,0.9483449074074074,,,0.0006608471137886519
10028,MANHATTAN,24,0.961436149691358,0.8880787037037037,45679.0,168125.0,0.961436149691358,0.8880787037037037,,,0.0005254055474069047
10029,MANHATTAN,12,0.9895592206790123,0.8833969907407407,74848.0,38308.0,0.9895592206790123,0.8833969907407407,,,0.0001603249251817016
10030,MANHATTAN,17,1.1396058006535947,0.9234259259259259,30781.0,42738.0,1.1396058006535947,0.9234259259259259,,,0.0005522887495532959
10031,MANHATTAN,30,1.1093128858024692,1.0466782407407407,60305.0,65067.0,1.1093128858024692,1.0466782407407407,,,0.000497471188127021
10032,MANHATTAN,44,0.5635448232323232,0.5695138888888889,55579.0,56588.0,0.5635448232323232,0.5695138888888889,,,0.0007916659169830331
10033,MANHATTAN,14,0.5865170304232805,0.6735358796296296,53611.0,75585.0,0.5865170304232805,0.6735358796296296,,,0.00026114043759676187
10034,MANHATTAN,13,0.798213141025641,0.8800347222222222,39037.0,69786.0,0.798213141025641,0.8800347222222222,,,0.00033301739375464305
10035,MANHATTAN,15,0.9175516975308643,1.0148148148148148,39082.0,40556.0,0.9175516975308643,1.0148148148148148,,,0.0003838084028452996
10036,MANHATTAN,16,0.8497685185185185,0.8545023148148149,30589.0,100225.0,0.8497685185185185,0.8545023148148149,,,0.0005230638464807611
10037,MANHATTAN,3,0.3669560185185185,0.2580439814814815,18333.0,51250.0,0.3669560185185185,0.2580439814814815,,,0.00016363933889707084
10038,MANHATTAN,9,0.6415213477366255,0.8748148148148148,23342.0,115121.0,0.6415213477366255,0.8748148148148148,,,0.0003855710736012338
10039,MANHATTAN,8,-1.217974537037037,0.8830787037037038,30512.0,48792.0,-1.217974537037037,0.8830787037037038,,,0.00026219192448872575
10040,MANHATTAN,5,1.0337083333333335,1.1103819444444445,41581.0,64022.0,1.0337083333333335,1.1103819444444445,,,0.00012024722830138766
10065,MANHATTAN,32,0.9035243055555555,0.8683333333333334,31047.0,160938.0,0.9035243055555555,0.8683333333333334,,,0.0010306953973008663
10069,MANHATTAN,3,1.1094097222222221,1.1177199074074073,6669.0,226151.0,1.1094097222222221,1.1177199074074073,,,0.000449842555105713
10075,MANHATTAN,9,0.6126440329218107,0.6068981481481481,23865.0,146556.0,0.6126440329218107,0.6068981481481481,,,0.0003771213073538655
